Timestamp,Date,Client ID,Age,Income of Principal Buyer,Marital Status,No. of Family Members,Preferred Location,SOURCE OF LEAD,Source of Income,Employer,Preferred Pay Term,Age of Spouse,Income of Spouse,Recommended Model
06/18/2025 20:27:10,06/18/2025,Client 141,55,"PHP 249,000",Married,4,LIPA,Referral,OFW Land base,HYUNDAI engineering,20-80 Pagibig Financing,58,"PHP 159,000",CALISTA END
06/28/2025 17:39:48,06/28/2025,Client 142,29,"PHP 195,000",Married,5,MAGALANG EAST,Broker/Agent,OFW Land base,samsung hq seoul,20-80 Pagibig Financing,34,"PHP 247,500",CALISTA END
07/04/2025 10:45:27,07/04/2025,Client 143,47,"PHP 184,000",Married,7,BATULAO,Referral,Locally Employed,Pldt inc.,20-80 Pagibig Financing,43,"PHP 201,500",CALISTA END
07/06/2025 16:50:42,07/06/2025,Client 144,55,"PHP 25,000",Single,N/a,STO. TOMAS,Facebook Ads,Locally Employed,Meralco,Cash,N/a,N/a,CALISTA MID
07/11/2025 20:03:46,07/11/2025,Client 145,32,"PHP 242,500",Single,,LIPA,Facebook Ads,OFW Land base,Jumeirah group,10-90 Bank Financing,,,CALISTA END
07/13/2025 19:45:55,07/13/2025,Client 146,38,"PHP 26,000",Widow,,BATULAO,Facebook Ads,Locally Employed,holcim philippines,Cash,,,CALISTA MID
07/14/2025 18:13:56,07/14/2025,Client 147,26,"PHP 58,500",Married,4,CALAMBA,Facebook Ads,OFW Land base,al futtaim Group,20-80 Pagibig Financing,23,"PHP 55,000",CALISTA END
07/18/2025 14:51:06,07/18/2025,Client 148,43,"PHP 102,000",Single,N/a,BATULAO,Facebook Ads,OFW Land base,consolidated contractors,20-80 Pagibig Financing,N/a,N/a,CALISTA END
07/21/2025 08:51:21,07/21/2025,Client 149,44,"PHP 47,500",Single,,LIPA,Facebook Ads,Self Employed/ Business Owner,family agricultural business,20-80 Pagibig Financing,,,CALISTA MID
07/21/2025 12:14:52,07/21/2025,Client 150,39,"PHP 141,000",Married,3,GEN TRI,Facebook Ads,Self Employed/ Business Owner,freelance Services,20-80 Pagibig Financing,40,"PHP 89,500",CALISTA END
07/22/2025 12:57:03,07/22/2025,Client 151,42,"PHP 37,000",Married,4,MAGALANG EAST,Broker/Agent,OFW Sea Base,Msc cruises,10-90 Bank Financing,46,"PHP 36,500",CALISTA MID
07/23/2025 11:07:41,07/23/2025,Client 152,47,"PHP 49,500",Single,N/a,PANDI EXPANSION,Facebook Ads,OFW Land base,consolidated contractors,Deferred Cash,N/a,N/a,CALISTA MID
07/25/2025 15:17:05,07/25/2025,Client 153,32,"PHP 170,500",Single,,PANDI EXPANSION,Facebook Ads,OFW Land base,enoc,20-80 Pagibig Financing,,,CALISTA END
07/26/2025 14:10:02,07/26/2025,Client 154,51,"PHP 193,500",Married,4,CALAMBA,Facebook Ads,OFW Land base,Pricewaterhousecoopers uae,20-80 Pagibig Financing,46,"PHP 235,000",CALISTA END
07/27/2025 09:55:11,07/27/2025,Client 155,49,"PHP 230,000",Single,,IMPRESSIONS HERMOSA,Facebook Ads,OFW Land base,Adnoc,Deferred Cash,,,CALISTA END
07/30/2025 17:37:35,07/30/2025,Client 156,46,"PHP 205,500",Single,N/a,BATULAO,Facebook Ads,OFW Land base,consolidated contractors,20-80 Pagibig Financing,N/a,N/a,CALISTA END
07/31/2025 08:28:59,07/31/2025,Client 157,53,"PHP 198,000",Single,N/a,LIPA,Facebook Ads,Self Employed/ Business Owner,online seller,10-90 Bank Financing,N/a,N/a,CALISTA END
08/02/2025 08:04:04,08/02/2025,Client 158,36,"PHP 69,500",Married,3,MAGALANG EAST,Referral,Locally Employed,asian hospital,20-80 Pagibig Financing,33,"PHP 76,000",CALISTA END
08/02/2025 13:51:59,08/02/2025,Client 159,50,"PHP 59,000",Married,7,BATULAO,Facebook Ads,OFW Land base,samsung hq seoul,10-90 Bank Financing,52,"PHP 60,000",CALISTA END
08/03/2025 17:00:25,08/03/2025,Client 160,55,"PHP 133,000",Married,4,BATULAO,Referral,Locally Employed,globe telecom,Cash,50,"PHP 91,000",CALISTA END
08/10/2025 18:02:39,08/10/2025,Client 161,49,"PHP 93,500",Married,7,MAGALANG EAST,Facebook Ads,Self Employed/ Business Owner,FAMILY catering SERVICES,10-90 Bank Financing,45,"PHP 105,500",CALISTA END
08/12/2025 18:25:11,08/12/2025,Client 162,58,"PHP 172,500",Married,9,BALIWAG,Facebook Ads,Self Employed/ Business Owner,online seller,Cash,62,"PHP 148,000",UNNA CORNER
08/12/2025 12:14:01,08/12/2025,Client 163,33,"PHP 227,000",Widow,,STO. TOMAS,Broker/Agent,OFW Land base,al futtaim group,20-80 Pagibig Financing,,,CALISTA END
08/13/2025 09:49:00,08/13/2025,Client 164,32,"PHP 105,000",Married,7,PANDI EXPANSION,Broker/Agent,Locally Employed,Philippine general hospital,10-90 Bank Financing,29,"PHP 126,000",CALISTA END
08/14/2025 13:40:40,08/14/2025,Client 165,27,"PHP 60,500",Married,2,NAIC,Broker/Agent,OFW Land base,samsung c&t (saudi),20-80 Pagibig Financing,29,"PHP 48,500",CALISTA END
08/16/2025 17:08:04,08/16/2025,Client 166,55,"PHP 35,000",Married,6,LIPA,Facebook Ads,Self Employed/ Business Owner,jeepney operator,10-90 Bank Financing,59,"PHP 19,000",CALISTA MID
08/16/2025 15:58:30,08/16/2025,Client 167,47,"PHP 187,500",Married,9,BALIWAG,Facebook Ads,OFW Land base,kaiser permanente,20-80 Pagibig Financing,42,"PHP 139,000",UNNA CORNER
08/21/2025 14:15:20,08/21/2025,Client 168,53,"PHP 190,500",Widow,4,IMPRESSIONS HERMOSA,Facebook Ads,Self Employed/ Business Owner,Independent contractor,20-80 Pagibig Financing,,,CALISTA END
08/21/2025 20:42:53,08/21/2025,Client 169,36,"PHP 166,500",Married,3,BATULAO,Broker/Agent,OFW Land base,jumeirah group,20-80 Pagibig Financing,31,"PHP 200,500",CALISTA END
08/22/2025 11:58:50,08/22/2025,Client 170,36,"PHP 85,500",Married,6,PANDI EXPANSION,Broker/Agent,OFW Sea Base,carnival cruise line,Deferred Cash,35,"PHP 62,500",CALISTA END
08/27/2025 18:57:29,08/27/2025,Client 171,31,"PHP 45,500",Married,7,MAGALANG EAST,Broker/Agent,OFW Land base,petrofac,Deferred Cash,32,"PHP 52,000",CALISTA MID
08/28/2025 10:04:30,08/28/2025,Client 172,51,"PHP 102,500",Married,3,GEN TRI,Facebook Ads,OFW Land base,qatar Petroleum,Deferred Cash,51,"PHP 64,500",CALISTA END
08/29/2025 19:51:42,08/29/2025,Client 173,29,"PHP 93,500",Married,3,BATULAO,Other:,Locally Employed,jollibee foods corp,10-90 Bank Financing,29,"PHP 110,000",CALISTA END
08/30/2025 18:03:43,08/30/2025,Client 174,36,"PHP 352,000",Married,7,BALIWAG,Facebook Ads,OFW Land base,hyundai engineering korea,Deferred Cash,36,"PHP 403,000",UNNA CORNER
08/30/2025 08:48:19,08/30/2025,Client 175,26,"PHP 52,000",Married,5,LIPA,Facebook Ads,OFW Land base,Qatar petroleum,20-80 Pagibig Financing,27,"PHP 60,000",CALISTA END
09/01/2025 10:39:22,09/01/2025,Client 176,39,"PHP 89,000",Married,4,IMPRESSIONS HERMOSA,Referral,Self Employed/ Business Owner,own accounting practice,20-80 Pagibig Financing,37,"PHP 83,500",CALISTA END
09/16/2025 17:14:04,09/16/2025,Client 177,34,"PHP 216,000",Married,9,BALIWAG,Referral,Locally Employed,the medical city,20-80 Pagibig Financing,39,"PHP 111,000",UNNA CORNER
09/17/2025 12:33:25,09/17/2025,Client 178,46,"PHP 68,000",Married,7,MAGALANG EAST,Facebook Ads,OFW Sea Base,evergreen marine,20-80 Pagibig Financing,47,"PHP 57,000",CALISTA END
09/20/2025 17:54:11,09/20/2025,Client 179,29,"PHP 95,500",Married,6,LIPA,Referral,OFW Sea Base,carnival cruise line,20-80 Pagibig Financing,27,"PHP 61,000",CALISTA END
09/28/2025 18:23:35,09/28/2025,Client 180,41,"PHP 126,000",Married,3,PANDI EXPANSION,Referral,OFW Land base,pricewaterhousecoopers uae,20-80 Pagibig Financing,36,"PHP 84,500",CALISTA END
09/30/2025 11:18:07,09/30/2025,Client 181,52,"PHP 91,000",Single,N/a,LIPA,Facebook Ads,OFW Sea Base,Maersk line,20-80 Pagibig Financing,N/a,N/a,CALISTA MID
10/01/2025 18:03:15,10/01/2025,Client 182,38,"PHP 166,500",Widow,2,BALIWAG,Facebook Ads,Locally Employed,ASIAN hospital,Cash,,,CALISTA END
10/02/2025 15:44:35,10/02/2025,Client 183,48,"PHP 60,000",Married,7,MAGALANG EAST,Facebook Ads,OFW Sea Base,philippine airlines (int'l),20-80 Pagibig Financing,52,"PHP 34,500",CALISTA MID
10/03/2025 18:52:28,10/03/2025,Client 184,27,"PHP 100,000",Single,,LIPA,Referral,OFW Land base,Emirates airlines,20-80 Pagibig Financing,,,CALISTA MID
10/04/2025 20:42:00,10/04/2025,Client 185,50,"PHP 222,000",Widow,,IMPRESSIONS HERMOSA,Facebook Ads,OFW Land base,emaar properties,20-80 Pagibig Financing,,,CALISTA END
10/07/2025 08:04:47,10/07/2025,Client 186,28,"PHP 30,500",Married,4,BALIWAG,Broker/Agent,OFW Land base,PRICEWATERHOUSECOOPERS uae,Deferred Cash,26,"PHP 18,500",CALISTA MID
10/10/2025 20:38:10,10/10/2025,Client 187,44,"PHP 173,000",Married,2,GAPAN,Facebook Ads,OFW Land base,samsung hq seoul,10-90 Bank Financing,49,"PHP 128,000",CALISTA END
10/10/2025 12:42:28,10/10/2025,Client 188,52,"PHP 38,000",Single,,STO. TOMAS,Facebook Ads,OFW Land base,Prosegur uae,20-80 Pagibig Financing,,,CALISTA MID
10/10/2025 20:48:36,10/10/2025,Client 189,32,"PHP 173,000",Married,3,TAYABAS,Referral,OFW Land base,Samsung c&t (saudi),20-80 Pagibig Financing,36,"PHP 192,500",CALISTA END
10/11/2025 09:18:39,10/11/2025,Client 190,44,"PHP 27,500",Single,N/a,NAIC,Facebook Ads,Locally Employed,accenture philippines,10-90 Bank Financing,N/a,N/a,CALISTA MID
10/19/2025 12:09:01,10/19/2025,Client 191,49,"PHP 18,000",Married,2,BATULAO,Broker/Agent,Locally Employed,bureau of internal revenue,20-80 Pagibig Financing,54,"PHP 12,000",CALISTA MID
10/22/2025 10:40:45,10/22/2025,Client 192,35,"PHP 187,500",Single,,GEN TRI,Facebook Ads,OFW Land base,kuwait oil company,10-90 Bank Financing,,,UNNA CORNER
10/22/2025 16:37:49,10/22/2025,Client 193,46,"PHP 310,500",Married,6,BALIWAG,Facebook Ads,OFW Land base,aramco,20-80 Pagibig Financing,42,"PHP 196,500",UNNA CORNER
10/24/2025 15:49:37,10/24/2025,Client 194,27,"PHP 114,500",Single,N/a,SIGHTS CALAUAN,Referral,OFW Land base,enoc,10-90 Bank Financing,N/a,N/a,CALISTA END
11/03/2025 10:48:28,11/03/2025,Client 195,46,"PHP 121,500",Married,5,LIPA,Referral,OFW Land base,aster dm healthcare,20-80 Pagibig Financing,47,"PHP 73,500",CALISTA END
11/04/2025 11:28:15,11/04/2025,Client 196,41,"PHP 228,000",Married,4,BATULAO,Other:,OFW Sea Base,Maersk line,20-80 Pagibig Financing,37,"PHP 181,500",CALISTA END
11/06/2025 12:02:37,11/06/2025,Client 197,46,"PHP 110,000",Single,,GEN TRI,Referral,OFW Land base,enoc,10-90 Bank Financing,,,CALISTA MID
11/07/2025 12:11:52,11/07/2025,Client 198,34,"PHP 114,500",Married,2,LIPA,Facebook Ads,OFW Land base,sohar aluminum,Deferred Cash,38,"PHP 101,500",CALISTA END
11/10/2025 20:42:03,11/10/2025,Client 199,25,"PHP 21,000",Married,3,BATULAO,Facebook Ads,Self Employed/ Business Owner,Family agricultural business,10-90 Bank Financing,26,"PHP 21,000",CALISTA MID
11/11/2025 12:42:43,11/11/2025,Client 200,32,"PHP 61,000",Single,N/a,PANDI EXPANSION,Broker/Agent,Self Employed/ Business Owner,Own accounting practice,20-80 Pagibig Financing,N/a,N/a,CALISTA MID
11/12/2025 19:54:48,11/12/2025,Client 201,52,"PHP 58,500",Married,6,PANDI EXPANSION,Facebook Ads,OFW Sea Base,Maersk line,10-90 Bank Financing,54,"PHP 64,000",CALISTA END
11/13/2025 20:26:48,11/13/2025,Client 202,38,"PHP 115,500",Married,7,LIPA,Referral,OFW Sea Base,Evergreen marine,20-80 Pagibig Financing,35,"PHP 135,500",CALISTA END
11/15/2025 16:20:44,11/15/2025,Client 203,55,"PHP 116,000",Married,4,LIPA,Facebook Ads,Self Employed/ Business Owner,online seller,20-80 Pagibig Financing,52,"PHP 118,500",CALISTA END
11/16/2025 10:57:24,11/16/2025,Client 204,38,"PHP 236,000",Married,3,CALAMBA,Facebook Ads,OFW Land base,aster dm healthcare,20-80 Pagibig Financing,41,"PHP 291,000",CALISTA END
11/16/2025 09:28:08,11/16/2025,Client 205,35,"PHP 219,500",Married,7,MAGALANG EAST,Other:,OFW Land base,sohar aluminum,20-80 Pagibig Financing,31,"PHP 151,000",CALISTA END
11/18/2025 15:36:12,11/18/2025,Client 206,31,"PHP 217,000",Single,,LIPA,Referral,OFW Land base,emaar properties,20-80 Pagibig Financing,,,CALISTA END
11/20/2025 09:49:20,11/20/2025,Client 207,28,"PHP 208,000",Married,5,NAIC,Facebook Ads,Self Employed/ Business Owner,family Catering services,20-80 Pagibig Financing,33,"PHP 221,500",CALISTA END
11/21/2025 15:51:24,11/21/2025,Client 208,30,"PHP 200,500",Single,N/a,TAYABAS,Facebook Ads,OFW Land base,ASTER dm healthcare,20-80 Pagibig Financing,N/a,N/a,CALISTA END
11/26/2025 15:13:02,11/26/2025,Client 209,43,"PHP 48,500",Single,,SAN PABLO EAST,Other:,Self Employed/ Business Owner,online Seller,20-80 Pagibig Financing,,,CALISTA MID
11/28/2025 18:53:29,11/28/2025,Client 210,35,"PHP 135,500",Married,5,NAIC,Broker/Agent,OFW Sea Base,maersk line,20-80 Pagibig Financing,31,"PHP 94,000",CALISTA END
11/28/2025 20:08:14,11/28/2025,Client 211,43,"PHP 120,500",Married,7,NAIC,Facebook Ads,OFW Sea Base,evergreen marine,20-80 Pagibig Financing,47,"PHP 92,500",CALISTA END
12/12/2025 11:40:23,12/12/2025,Client 212,51,"PHP 112,000",Married,5,LIPA,Facebook Ads,OFW Land base,enoc,20-80 Pagibig Financing,47,"PHP 127,000",CALISTA END
12/27/2025 16:37:11,12/27/2025,Client 213,51,"PHP 230,000",Married,5,BALIWAG,Referral,OFW Land base,Emaar properties,20-80 Pagibig Financing,46,"PHP 196,000",UNNA CORNER
12/30/2025 11:27:30,12/30/2025,Client 214,41,"PHP 190,000",Single,,PANDI EXPANSION,Referral,OFW Sea Base,Maersk line,10-90 Bank Financing,,,CALISTA END
12/30/2025 16:12:00,12/30/2025,Client 215,41,"PHP 62,000",Widow,2,PANDI EXPANSION,Facebook Ads,OFW Land base,Walmart us,20-80 Pagibig Financing,,,CALISTA MID
12/31/2025 08:39:12,12/31/2025,Client 216,41,"PHP 53,000",Married,4,CALAMBA,Referral,Locally Employed,sm investments corp,20-80 Pagibig Financing,46,"PHP 39,000",CALISTA MID
01/05/2026 12:50:35,01/05/2026,Client 217,44,"PHP 184,000",Married,3,SIGHTS CALAUAN,Broker/Agent,OFW Land base,Enoc,20-80 Pagibig Financing,49,"PHP 129,500",CALISTA END
01/08/2026 09:56:40,01/08/2026,Client 218,46,"PHP 86,500",Married,3,PANDI EXPANSION,Referral,Locally Employed,Asian hospital,20-80 Pagibig Financing,49,"PHP 63,500",CALISTA END
01/14/2026 09:10:40,01/14/2026,Client 219,46,"PHP 146,000",Married,7,PANDI EXPANSION,Referral,OFW Land base,Aster dm healthcare,10-90 Bank Financing,46,"PHP 86,500",CALISTA END
01/21/2026 14:32:26,01/21/2026,Client 220,42,"PHP 194,000",Married,6,CALAMBA,Facebook Ads,OFW Land base,sohar Aluminum,20-80 Pagibig Financing,43,"PHP 119,000",CALISTA END
01/23/2026 08:59:44,01/23/2026,Client 221,46,"PHP 37,500",Single,,STO. TOMAS,Broker/Agent,Locally Employed,ayala land construction,10-90 Bank Financing,,,CALISTA MID
01/24/2026 16:06:55,01/24/2026,Client 222,25,"PHP 34,500",Single,,MAGALANG EAST,Facebook Ads,Locally Employed,meralco,10-90 Bank Financing,,,CALISTA MID
02/07/2026 16:45:21,02/07/2026,Client 223,32,"PHP 36,000",Single,N/a,BALANGA,Facebook Ads,OFW Land base,petrofac,20-80 Pagibig Financing,N/a,N/a,CALISTA MID
02/10/2026 09:33:05,02/10/2026,Client 224,42,"PHP 207,500",Single,,LIPA,Other:,OFW Land base,Enoc,10-90 Bank Financing,,,CALISTA END
02/11/2026 16:19:53,02/11/2026,Client 225,29,"PHP 18,500",Widow,5,PANDI EXPANSION,Referral,Self Employed/ Business Owner,independent contractor,20-80 Pagibig Financing,,,CALISTA MID
02/12/2026 14:05:37,02/12/2026,Client 226,44,"PHP 72,500",Single,N/a,BATULAO,Other:,Locally Employed,Philippine General Hospital,20-80 Pagibig Financing,N/a,N/a,CALISTA MID
02/14/2026 18:20:32,02/14/2026,Client 227,39,"PHP 179,500",Widow,4,STO. TOMAS,Facebook Ads,OFW Land base,adnoc,20-80 Pagibig Financing,N/a,N/a,CALISTA END
02/15/2026 18:54:46,02/15/2026,Client 228,32,"PHP 59,000",Married,6,MAGALANG EAST,Referral,Locally Employed,cebu pacific,10-90 Bank Financing,36,"PHP 33,000",CALISTA MID
02/20/2026 08:22:40,02/20/2026,Client 229,49,"PHP 42,000",Married,4,GEN TRI,Referral,OFW Sea Base,Philippine Airlines (int'l),20-80 Pagibig Financing,44,"PHP 33,000",CALISTA MID
02/24/2026 20:33:41,02/24/2026,Client 230,50,"PHP 70,000",Married,7,MAGALANG EAST,Facebook Ads,Self Employed/ Business Owner,own Accounting Practice,20-80 Pagibig Financing,51,"PHP 48,500",CALISTA END
02/24/2026 15:20:54,02/24/2026,Client 231,52,"PHP 34,500",Married,6,BALIWAG,Broker/Agent,OFW Land base,jumeirah group,10-90 Bank Financing,48,"PHP 18,000",CALISTA MID
02/26/2026 19:46:53,02/26/2026,Client 232,35,"PHP 166,500",Married,7,BALIWAG,Referral,OFW Land base,KUWAIT OIL COMPANY,20-80 Pagibig Financing,33,"PHP 112,500",UNNA CORNER
02/28/2026 20:18:18,02/28/2026,Client 233,41,"PHP 139,500",Married,6,MAGALANG EAST,Facebook Ads,OFW Sea Base,MSC cruises,Deferred Cash,40,"PHP 154,500",CALISTA END
03/03/2026 09:54:25,03/03/2026,Client 234,51,"PHP 104,500",Married,5,LIPA,Facebook Ads,OFW Land base,Emaar properties,20-80 Pagibig Financing,56,"PHP 52,500",CALISTA END
03/04/2026 08:43:33,03/04/2026,Client 235,49,"PHP 164,500",Single,N/a,MAGALANG EAST,Facebook Ads,OFW Land base,enoc,Deferred Cash,N/a,N/a,CALISTA END
03/04/2026 11:08:56,03/04/2026,Client 236,33,"PHP 261,500",Married,4,LIPA,Facebook Ads,Self Employed/ Business Owner,Tricycle operator,20-80 Pagibig Financing,29,"PHP 275,500",CALISTA END
03/09/2026 19:51:39,03/09/2026,Client 237,32,"PHP 146,500",Single,N/a,LIPA,Facebook Ads,OFW Land base,aster dm healthcare,20-80 Pagibig Financing,N/a,N/a,CALISTA END
03/14/2026 20:36:23,03/14/2026,Client 238,28,"PHP 131,500",Single,,NAIC,Facebook Ads,OFW Land base,Qatar petroleum,20-80 Pagibig Financing,,,CALISTA END
03/14/2026 09:02:01,03/14/2026,Client 239,32,"PHP 204,000",Single,,NAIC,Referral,OFW Sea Base,Maersk line,20-80 Pagibig Financing,,,CALISTA END
03/16/2026 16:46:24,03/16/2026,Client 240,32,"PHP 292,500",Single,,LIPA,Facebook Ads,Self Employed/ Business Owner,family agricultural Business,20-80 Pagibig Financing,,,CALISTA END
03/30/2026 08:57:50,03/30/2026,Client 241,36,"PHP 124,000",Married,3,STO. TOMAS,Referral,Locally Employed,land bank of the PHILIPPINES,20-80 Pagibig Financing,39,"PHP 151,500",CALISTA END
04/13/2026 08:34:38,04/13/2026,Client 242,37,"PHP 116,500",Single,N/a,BALIWAG,Facebook Ads,Locally Employed,Universal robina corp,20-80 Pagibig Financing,N/a,N/a,CALISTA END
04/21/2026 14:10:00,04/21/2026,Client 243,25,"PHP 120,500",Married,3,PANDI EXPANSION,Other:,OFW Sea Base,Evergreen Marine,20-80 Pagibig Financing,25,"PHP 138,000",CALISTA END
05/05/2026 18:23:19,05/05/2026,Client 244,29,"PHP 184,500",Widow,N/a,IMPRESSIONS HERMOSA,Facebook Ads,OFW Land base,Al futtaim group,10-90 Bank Financing,N/a,N/a,CALISTA END
05/05/2026 19:41:31,05/05/2026,Client 245,39,"PHP 83,500",Single,N/a,BATULAO,Broker/Agent,OFW Land base,Al rajhi bank,10-90 Bank Financing,N/a,N/a,CALISTA MID
05/12/2026 14:55:00,05/12/2026,Client 246,49,"PHP 19,000",Married,6,LIPA,Broker/Agent,Self Employed/ Business Owner,tricycle operator,10-90 Bank Financing,44,"PHP 13,000",CALISTA MID
05/15/2026 08:58:25,05/15/2026,Client 247,41,"PHP 40,000",Married,5,LIPA,Facebook Ads,OFW Land base,Adnoc,10-90 Bank Financing,45,"PHP 23,500",CALISTA MID
05/16/2026 12:46:13,05/16/2026,Client 248,34,"PHP 69,500",Single,,SAN PABLO EAST,Facebook Ads,Locally Employed,San miguel corporation,20-80 Pagibig Financing,,,CALISTA MID
05/17/2026 11:49:05,05/17/2026,Client 249,50,"PHP 139,500",Married,2,PANDI EXPANSION,Facebook Ads,OFW Land base,hyundai Engineering Korea,10-90 Bank Financing,54,"PHP 97,000",CALISTA END
05/19/2026 20:57:20,05/19/2026,Client 250,40,"PHP 44,000",Married,2,PANDI EXPANSION,Facebook Ads,OFW Sea Base,Carnival cruise line,10-90 Bank Financing,45,"PHP 37,500",CALISTA MID
05/22/2026 13:09:07,05/22/2026,Client 251,27,"PHP 51,000",Widow,,LIPA,Facebook Ads,OFW Land base,japan tobacco int'l,20-80 Pagibig Financing,,,CALISTA MID
05/22/2026 08:51:53,05/22/2026,Client 252,35,"PHP 138,500",Single,N/a,BATULAO,Facebook Ads,OFW Sea Base,maersk line,Deferred Cash,N/a,N/a,CALISTA END
05/29/2026 16:45:50,05/29/2026,Client 253,30,"PHP 245,000",Widow,,GEN TRI,Facebook Ads,OFW Land base,enoc,20-80 Pagibig Financing,,,CALISTA END
05/31/2026 18:54:44,05/31/2026,Client 254,44,"PHP 217,000",Widow,,LIPA,Facebook Ads,Self Employed/ Business Owner,tricycle operator,20-80 Pagibig Financing,,,CALISTA END
06/07/2026 16:17:12,06/07/2026,Client 255,45,"PHP 32,000",Married,2,LIPA,Broker/Agent,OFW Sea Base,msc cruises,20-80 Pagibig Financing,46,"PHP 19,000",CALISTA MID
06/09/2026 11:51:16,06/09/2026,Client 256,50,"PHP 101,000",Single,,LIPA,Broker/Agent,OFW Land base,kuwait oil company,Deferred Cash,,,CALISTA MID
06/09/2026 16:27:10,06/09/2026,Client 257,36,"PHP 186,000",Widow,,BATULAO,Broker/Agent,OFW Sea Base,evergreen marine,20-80 Pagibig Financing,,,CALISTA END
06/09/2026 15:53:33,06/09/2026,Client 258,55,"PHP 148,500",Single,N/a,LIPA,Referral,OFW Land base,Pricewaterhousecoopers uae,20-80 Pagibig Financing,N/a,N/a,CALISTA END
06/10/2026 20:11:12,06/10/2026,Client 259,43,"PHP 360,000",Married,5,BALIWAG,Facebook Ads,OFW Land base,Emaar properties,20-80 Pagibig Financing,45,"PHP 303,000",UNNA CORNER
06/12/2026 18:36:32,06/12/2026,Client 260,62,"PHP 370,000",Single,,BALIWAG,Facebook Ads,OFW Land base,kaiser permanente,10-90 Bank Financing,,,UNNA CORNER
06/13/2026 17:20:36,06/13/2026,Client 261,31,"PHP 70,500",Single,,BATULAO,Referral,Locally Employed,bdo unibank,20-80 Pagibig Financing,,,CALISTA MID
06/15/2026 17:28:30,06/15/2026,Client 262,37,"PHP 199,000",Married,9,BALIWAG,Facebook Ads,Locally Employed,Cebu pacific,10-90 Bank Financing,35,"PHP 196,000",UNNA CORNER
06/25/2026 20:21:56,06/25/2026,Client 263,55,"PHP 134,000",Married,3,MAGALANG EAST,Broker/Agent,OFW Sea Base,philippine airlines (int'l),10-90 Bank Financing,51,"PHP 165,000",CALISTA END
07/05/2026 16:00:46,07/05/2026,Client 264,53,"PHP 40,000",Single,N/a,BALIWAG,Facebook Ads,Self Employed/ Business Owner,family catering services,10-90 Bank Financing,N/a,N/a,CALISTA MID
07/07/2026 15:59:12,07/07/2026,Client 265,50,"PHP 249,000",Single,,CALAMBA,Facebook Ads,OFW Land base,Japan tobacco int'l,10-90 Bank Financing,,,CALISTA END
07/09/2026 15:25:07,07/09/2026,Client 266,25,"PHP 36,500",Married,7,LIPA,Referral,OFW Land base,al futtaim group,Deferred Cash,22,"PHP 35,500",CALISTA MID
07/12/2026 08:44:34,07/12/2026,Client 267,53,"PHP 35,500",Married,5,BALIWAG,Referral,Locally Employed,The medical city,20-80 Pagibig Financing,55,"PHP 39,000",CALISTA MID
07/12/2026 08:02:45,07/12/2026,Client 268,27,"PHP 40,500",Married,6,BALANGA,Referral,OFW Land base,jumeirah group,20-80 Pagibig Financing,31,"PHP 23,000",CALISTA MID
07/13/2026 15:45:45,07/13/2026,Client 269,53,"PHP 51,000",Married,2,BALIWAG,Facebook Ads,OFW Land base,bechtel middle east,20-80 Pagibig Financing,48,"PHP 48,500",CALISTA END
07/23/2026 11:43:47,07/23/2026,Client 270,29,"PHP 183,000",Married,5,LIPA,Referral,Self Employed/ Business Owner,Family agricultural Business,20-80 Pagibig Financing,30,"PHP 119,500",CALISTA END
07/25/2026 14:19:02,07/25/2026,Client 271,41,"PHP 352,000",Married,7,BALIWAG,Facebook Ads,OFW Land base,qatar PETROLEUM,20-80 Pagibig Financing,46,"PHP 340,500",UNNA CORNER
07/26/2026 16:36:52,07/26/2026,Client 272,42,"PHP 19,000",Married,6,NAIC,Referral,Locally Employed,Universal Robina Corp,20-80 Pagibig Financing,37,"PHP 12,000",CALISTA MID
07/26/2026 09:55:16,07/26/2026,Client 273,46,"PHP 191,000",Married,5,GEN TRI,Facebook Ads,OFW Sea Base,philippine airlines (int'l),20-80 Pagibig Financing,44,"PHP 126,500",CALISTA END
07/28/2026 11:56:51,07/28/2026,Client 274,55,"PHP 24,500",Married,6,LIPA,Facebook Ads,Locally Employed,department of education,10-90 Bank Financing,50,"PHP 32,000",CALISTA MID
07/28/2026 10:56:10,07/28/2026,Client 275,25,"PHP 36,000",Single,,MAGALANG EAST,Broker/Agent,Locally Employed,jollibee foods corp,10-90 Bank Financing,,,CALISTA MID
08/02/2026 13:13:54,08/02/2026,Client 276,50,"PHP 111,500",Single,,PANDI EXPANSION,Facebook Ads,OFW Sea Base,Maersk Line,20-80 Pagibig Financing,,,CALISTA END
08/09/2026 13:24:24,08/09/2026,Client 277,30,"PHP 23,500",Single,N/a,LIPA,Facebook Ads,Self Employed/ Business Owner,Own accounting practice,20-80 Pagibig Financing,N/a,N/a,CALISTA MID
08/16/2026 16:18:40,08/16/2026,Client 278,29,"PHP 149,500",Married,4,BATULAO,Referral,OFW Sea Base,carnival cruise line,20-80 Pagibig Financing,28,"PHP 194,000",CALISTA END
08/18/2026 12:23:15,08/18/2026,Client 279,49,"PHP 95,000",Married,6,PANDI EXPANSION,Facebook Ads,Self Employed/ Business Owner,family catering services,10-90 Bank Financing,50,"PHP 55,500",CALISTA END
08/20/2026 15:51:50,08/20/2026,Client 280,33,"PHP 111,500",Single,,BATULAO,Facebook Ads,Locally Employed,universal robina corp,20-80 Pagibig Financing,,,CALISTA END
